"School","pca_score"
"Tehran",100
"Tabriz",92.3882455759882
"Mashhad",92.1267394456514
"ShahidBeheshti",91.6074870474754
"Isfahan",85.7934667651387
"Shiraz",80.2679294204636
"Babol",68.8441852044692
"Hamadan",63.7654604805768
"Kerman",62.1329625253137
"Yazd",61.9809786319706
"Ahwaz",59.8932346233088
"Mazandaran",57.8213952827173
"Gilan",56.3653501515466
"Shahed",54.88237388374
"Kermanshah",51.7174370751077
"Zahedan",51.5892479442574
"Qazvin",48.3091834402457
"Birjand",45.2705912393151
"Rafsanjan",42.9231966009161
"Golestan",35.4174809631394
"Urmia",32.4077034671199
"AzadTehran",31.3308575523363
"Bandarabbas",27.7551947400255
"Ardabil",24.7642061758356
"Qom",24.6277235052674
"Zanjan",18.4189120783125
"AzadKhorasgan",17.8133880563298
"Yasuj",17.5149468229384
"Bushehr",16.4364271190884
"Kurdistan",13.3039709129963
"Semnan",12.5266148988799
"AzadShiraz",4.04477360312731
"Alborz",1.28401414474358
"Lorestan",0
